,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,!!! RT As a woman you shouldn't complain about cleaning up your house.  as a man you should always take the trash out...
63,3,0,0,3,2,"""-SimplyAddictedToGuys  woof woof hot scally lad"
70,3,0,0,3,2,"""Why the eggplant emoji doe?""y he say she looked like scream lmao"
115,3,0,0,3,2,"""Baseball season for the win. #Yankees"" This is where the love started"
118,3,0,0,3,2,"""I'm an early bird and I'm a night owl, so I'm wise and have worms."""
120,3,0,0,3,2,"""Pit Bulls Photographed As Lovely Fairy Tale Creatures  *are* fairy tale creatures."
122,3,0,0,3,2,"""As long as the Lakers trash from now on, I could careless. And that's real."". CC: hahaha"
124,3,0,0,3,2,"""this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut   yup"
164,3,0,0,3,2,"""#UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
180,3,0,0,3,2,"""Stay tuned to for an update on the report that 1B will be out 8-10 weeks"" #bum"
181,3,0,0,3,2,"""""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut  yes lmfao""@soccerboy_04"
190,3,0,0,3,2,""""" I got hicks lol"
196,6,0,0,6,2,"""10 birds your grandkids may never see, thanks to climate change   #Climate"
269,3,0,0,3,2,"""15 sad TV character deaths we're still bitter over...   stark was the man"
274,3,0,0,3,2,"""A smuggler explains how he helped fighters along the ""Jihadi Highway"": "
283,3,0,0,3,2,"""Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
313,3,0,0,3,2,"""One mans trash  is another mans treasure """
329,3,0,0,3,2,"""Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta"
331,3,0,0,3,2,"""a video an entire media will likely mock.  i am such a crybaby"
336,3,0,0,3,2,"""Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport "
341,3,0,0,3,2,"""tweety bird tho "
351,3,0,0,3,2,"""Photo:  he is in sole heaven"
356,3,0,0,3,2,"""We actin like it's the 7th day "
364,3,0,0,3,2,"""colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao"
370,3,0,0,3,2,"""""""""swears I'm #1 man"" easily"" easily"" behind Austin"" nip?"
372,4,0,0,4,2,"""H.G.Wells and Charlie Chaplin  #History #Photography"
380,3,0,0,3,2,"""brownies tonight"" what kind?!?!"
384,3,0,0,3,2,"""Fit lads! Nice gear!  these scally lads n trainers would get it"
397,3,0,0,3,2,"""RAWR!! RT ""My"" sexy French scally. I love him! #frenchscally  sexy scally woof woof"
414,3,0,0,3,2,"""Baby albino   @Meeeesh1395"
428,3,0,0,3,2,"""Brownies for my brownie"" I love this movie. "
449,3,0,0,3,2,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ "
466,3,0,0,3,2,"""I am a thrill billy..with a hillbilly heart."" -HAHAHAHAHA Jesus Murphy!"
515,3,0,0,3,2,"""Just follow the yellow brick twitter."""
537,3,0,0,3,2,"""OVO""  kendrick lamar still trash"
561,3,0,0,3,2,"""The devil grows inside the hearts of the selfish and wicked
White, brown, yellow and black color is not restricted"""
562,3,0,0,3,2,"""The water isn't yellow, I'm a healthy student"""
568,3,0,0,3,2,"""They have to. That division is trash Saints gon win the NFC South...watch"""
571,3,0,0,3,2,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26"
575,3,0,0,3,2,"""Two roads diverged in a yellow wood, and I chose the one to Jtunheimr""
- Robert Frost Giant"
597,3,0,0,3,2,"""YAH"" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians)....."
598,3,0,0,3,2,"""Yaoooooooo Mawnin yardies! """
621,3,0,0,3,2,"""Your teeth are like the stars."" ""Aww thanks!"" ""Yeah... yellow and far away from each other."""
660,3,0,0,3,2,#2013Faves RT #Snoop and #Justin are having so much fun at this Charlie Wilson tribute #BETAwards 
668,3,0,0,3,2,#AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?
676,3,0,0,3,2,"#BlessJesus Amos 3:3 - Can two walk together, except they be agreed?"
677,3,0,0,3,2,#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.
678,6,0,0,6,2,#BlessJesus The #Crown of HIS head to the sole of HIS feet
679,6,0,0,6,2,#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?
680,3,0,0,3,2,#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong
698,3,0,0,3,2,"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot
#Unanimous"
701,3,0,0,3,2,#EarlyBird #early #morning #sunrise #dawn #bird #thebird #jerryreed @ Kansas City 
702,3,0,0,3,2,#Ebola Great and I thought the panic from bird flu was bad. I really ain't got time for that.
703,3,0,0,3,2,#Ebola is a great metaphor for how #GOP #teaparty policies eat off of vital organs until the host dies. #Tcot #teabaggers
704,3,0,0,3,2,#ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth
707,3,0,0,3,2,"#FemaleLogic is worse than the jig, I'm convinced"
708,3,0,0,3,2,#FireCashman Why?? Because I am having to root for the Royals in October. #Yankees
712,6,0,0,6,2,"#Glory Isaiah Mom asked me if I wanted a brownie I said, no thanks 
She said what are fasting,"
713,9,0,0,9,2,#HOLIDAYSEASONLIVE Shy Glizzy Feat Plies - FREE THA GANG: 
715,3,0,0,3,2,#HappyColumbusDay .....hate to sound all #PETA callous and all........but #buffalo had it a LOT WORSE than the #injuns..........
717,3,0,0,3,2,#HellYeah RT #No RT Happy Fall! Pumpkin Spice Oreos are here  
718,3,0,0,3,2,"#HelloBrookland! We're here at the opening! Serving free samples of cider, vegan sliders, brownies! "
719,6,0,0,6,2,"#HolySpirit Joshua 1:3 Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses."
724,3,0,0,3,2,#IU 8 straight nation #college soccer champions! Wow! #hoosiernation #hoosiers 
725,3,0,0,3,2,"#IU should make me an honorary student, id be way cooler than the other international students. i have my own football card! #hoosiers"
741,3,0,0,3,2,"#NP ""Centuries"" ~FOB"
743,3,0,0,3,2,#Natitude? Okay. I'm only going to say it once. COMB yer BEARDS. #lol #wiggers
744,6,0,0,6,2,#NowPlaying : BT feat. Tori Amos - Blue Skies (radio edit) on #1069TheArrow - 
745,3,0,0,3,2,#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - 
746,6,0,0,6,2,#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - 
747,3,0,0,3,2,#NowPlaying : The Doors - The WASP (Texas Radio and the Big Beat) on #1069TheArrow - 
750,3,0,0,3,2,#PDPLive is on November 10th. Get your early bird tickets from  
751,3,0,0,3,2,#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers
763,3,0,0,3,2,"#RedSox, focus on the #Orioles that knocked you out last year, and not your hatred of the #Yankees for um-teen years! LOL!"
765,3,0,0,3,2,#Royals 2-1!! Fantastic. Ready for tomorrow's sweep of the disposed O's. #Yankees 4ever except this month.
767,3,0,0,3,2,#RuinAComedian Charlie Lapdance
779,3,0,0,3,2,#StopWhitePeople RT 9 cases of West Nile virus infections reported in Orange County this year; 105 dead birds found carrying virus
780,3,0,0,3,2,#TBT love you forever ling ling  
782,3,0,0,3,2,#TRUTH RT David is the Charlie Brown of #Scandal
800,3,0,0,3,2,#WhatImCraving Peanut Butter Oreos 3
803,3,0,0,3,2,#WorldSeriesGame3 Hunter Pence is so annoying he should be a Red Sox player. Shave fool and take your Vyvanse#Yankees 2015!!
804,3,0,0,3,2,#Yankees
805,3,0,0,3,2,#Yankees #FireCashman I don't want Arod back.
806,3,0,0,3,2,#Yankees #Jeter Let him play the entire inning. That's fitting.
807,3,0,0,3,2,#Yankees #SEC Robertson in. Guy is fantastic. SEC pitcher!!
808,3,0,0,3,2,"#Yankees 3, #Astros 0: McCarthy outduels Keuchel in series finale "
809,3,0,0,3,2,#Yankees 6-0. Nine straight hits. Price... Not your night.
811,3,0,0,3,2,#Yankees Damn. Well Joe that move to the bullpen really helped.
812,3,0,0,3,2,#Yankees I ain't complaining about the Royals win or lose game7. They showed heart. AL ride or die! No flex zone. They earned it!
813,3,0,0,3,2,#Yankees I went to Golds with Cruz in 2010 when he was a Sound. No upper /lower body strength.. Hmm now 40 HR hitter. Won't say the S word.
814,3,0,0,3,2,#Yankees If Royals have a fire sale. I want the whole team!! Leave Gardner and Tanaka. The rest can please go. Along with Joe and Cash.
815,3,0,0,3,2,#Yankees Nice bounce back Kay. Gotta keep this going!
816,3,0,0,3,2,#Yankees Pineda needed that 6'7. Great play!
817,3,0,0,3,2,"#Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious, Sept call up time"
818,3,0,0,3,2,#Yankees got beaten by a thug
819,3,0,0,3,2,"#Yankees take all three games in MoTown, I'm callin' it!!! #MLB"
820,3,0,0,3,2,#Yankees wasted Nuez's season #rays #mlb
830,3,0,0,3,2,#drunk #trash #trashed #wasted @ The Draught Horse 
835,3,0,0,3,2,#gouache #inktober #oldpainting #mt #tiki #wahine #surf #monkey #bright #happysunday #peace wishing 
838,3,0,0,3,2,"#hoosier fans, is cody zeller nominating for this years #NBA draft? #iubb"
