term,meaning
anus,butt
arse,butt
arsehole,butt
ass,butt
ass-hat,idiot
ass-jabber,homosexual
ass-pirate,homosexual
assbag,idiot
assbandit,homosexual
assbanger,homosexual
assbite,idiot
assclown,butt
asscock,idiot
asscracker,butt
asses,butts
assface,butt
assfuck,rear-loving
assfucker,homosexual
assgoblin,homosexual
asshat,butt
asshead,idiot
asshole,jerk
asshopper,homosexual
assjacker,homosexual
asslick,idiot
asslicker,buttlicker
assmonkey,idiot
assmunch,idiot
assmuncher,butt
assnigger,racial slur
asspirate,homosexual
assshit,idiot
assshole,butt
asssucker,idiot
asswad,butt
asswipe,butt
axwound,female genitalia
bampot,idiot
bastard,illegitimate child
beaner,Mexican
bitch,female dog
bitchass,idiot
bitches,female dogs
bitchtits,homosexual
bitchy,meaning
blow job,sexual act
blowjob,sexual act
bollocks,male genitalia
bollox,male genitalia
boner,erection
brotherfucker,homosexual
bullshit,poop
bumblefuck,homosexual
butt plug,cork
butt-pirate,homosexual
buttfucka,homosexual
buttfucker,homosexual
camel toe,female genitalia
carpetmuncher,homosexual
chesticle,breast 
chinc,Chinese
chink,asian
choad,male genitalia
chode,small penis
clit,female genitalia
clitface,idiot
clitfuck,sexual act
clusterfuck,mess up
cock,penis
cockass,jerk 
cockbite,idiot
cockburger,idiot
cockface,idiot
cockfucker,idiot
cockhead,idiot
cockjockey,idiot
cockknoker,homosexual
cockmaster,homosexual
cockmongler,homosexual
cockmongrel ,homosexual
cockmonkey,idiot
cockmuncher,homosexual
cocknose,idiot
cocknugget,idiot
cockshit,idiot
cocksmith,homosexual
cocksmoke,homosexual
cocksmoker,homosexual
cocksniffer,homosexual
cocksucker,homosexual
cockwaffle,idiot
coochie,female genitalia
coochy,female genitalia
coon,African American
cooter,female genitalia
cracker,Caucasian
cum,semen
cumbubble,idiot
cumdumpster,prostitute
cumguzzler,homosexual
cumjockey,homosexual
cumslut,dirty girl
cumtart,idiot
cunnie,female genitalia
cunnilingus,sexual act
cunt,vagiina
cuntass,idiot
cuntface,idiot
cunthole,female genitalia
cuntlicker,homosexual
cuntrag,idiot
cuntslut,idiot
dago,Italian
damn,darn
deggo,Italian
dick,penis
dick-sneeze,orgasm
dickbag,idiot
dickbeaters,hands
dickface,idiot
dickfuck,idiot
dickfucker,homosexual
dickhead,phallace face
dickhole,male genitalia
dickjuice,semen
dickmilk,sperm
dickmonger,homosexual
dicks,penis
dickslap,sexual act
dicksucker,homosexual
dick sucking,sexual act
dick tickler,homosexual
dickwad,idiot
dickweasel,idiot
dickweed,idiot
dickwod,idiot
dike,homosexual
dildo,sexual toy
dipshit,idiot
doochbag,idiot
dookie,poop
douche,female hygene product
douche-fag,idiot
douchebag,female hygene product
douchewaffle,homosexual
dumb ass,idiot
dumbass,idiot
dumb fuck,idiot
dumb shit,idiot
dyke,homosexual
fag,homosexual
fagbag,homosexual
fagfucker,homosexual
faggit,homosexual
faggot,homosexual
faggotcock,homosexual
fagtard,homosexual
fatass,a fat person
fellatio,a sexual act
feltch,a sexual act
flamer,homosexual
fuck,a sexual act
fuckass,idiot
fuckbag,idiot
fuckboy,idiot
fuckbrain,idiot
fuckbutt,butt
fuckbutter,sexual fluids
fucked,had intercourse
fucker,fornicator
fuckersucker,idiot
fuckface,idiot
fuckhead,butt
fuckhole,jerk
fuckin,a sexual act
fucking,freaking
fucknut,idiot
fucknutt,idiot
fuck off,go away
fucks,a sexual act
fuckstick,male genitalia
fucktard,idiot
fuckup,idiot
fuckwad,idiot
fuckwit,dummy
fuckwitt,idiot
fudgepacker,homosexual
gay,homosexual
gayass,butt
gaybob,homosexual
gaydo,homosexual
gayfuck,homosexual
gayfuckist,homosexual
gaylord,homosexual
gaytard,homosexual
gaywad,homosexual
goddamn,goshdarn
goddamnit,goshdarnit
gooch,female genitalia
gook,Chinese
gringo,foreigner
guido,Italian
handjob,a sexual act
hard on,erection
heeb,Jewish
hell,heck
ho,woman
hoe,woman
homo,homosexual
homodumbshit,idiot
honkey,White
humping,a sexual act
jackass,idiot
jagoff,idiot
jap,Japanese
jerk off,a sexual act
jerkass,idiot
jigaboo,African American
jizz,semen
jungle bunny,African American
kike,Jewish
kooch,female genitalia
kootch,female genitalia
kraut,German
kunt,female genitalia
kyke,Jewish
lameass,loser
lardass,a fat person
lesbian,homosexual
lesbo,homosexual
lezzie,homosexual
mcfaggot,homosexual
mick,Irish
minge,female genitalia
mothafucka,jerk 
mothafuckin,mother loving
motherfucker,mother lover
motherfucking,fornicating with a mother
muff,female genitalia
muffdiver,homosexual
munging,a sexual act
negro,African American
nigaboo,African American
nigga,African American
nigger,African American
niggers,African American
niglet,African American child
nut sack,male genitalia
paki,Pakistani
panooch,female genitalia
pecker,penis
peckerhead,idiot
penis,male genitalia
penisbanger,homosexual
penisfucker,homosexual
penispuffer,homosexual
piss,urinate
pissed,urinated
pissed off,angry
pissflaps,female genitalia
polesmoker,homosexual
pollock,Polish
poon,female genitalia
poonami,female genitalia
poonany,female genitalia
poontang,female genitalia
porch monkey,African American
prick,penis
punanny,female genitalia
punta,female dog
pussies,female genitalia
pussy,female genitalia
pussy licking,a sexual act
puto,idiot
queef ,vaginal fart
queer,homosexual
queerbait,homosexual
queerhole,homosexual
renob,erection
rimjob,a sexual act
ruski,Russian
sand nigger,Middle Eastern
schlong,Middle Eastern
scrote,male genitalia
shit,male genitalia
shitass,poop
shitbag,idiot
shitbagger,idiot
shitbrains,idiot
shitbreath,idiot
shitcanned,bad breath
shitcunt,fired
shitdick,idiot
shitface,idiot
shitfaced,poop face
shithead,drunk
shithole,jerk
shithouse,idiot
shitspitter,bathroom
shitstain,butt
shitter,poop
shittiest,defecator
shittihng,worst
shitty,bad breath
shiz,poop
shiznit,poop
skank,dirty girl
skeet,semen
skullfuck,a sexual act
slut,sexually active woman
slutbag,sexually active woman
smeg,poop
snatch,female genitalia
spic,Mexican
spick,Mexican
splooge,ejaculate
spook,White
suckass,idiot
tard,mentally challenged
testicle,male genitalia
thundercunt,idiot
tit,breast 
titfuck,a sexual act
tits,breasts
tittyfuck,a sexual act
twat,female genitalia
twatlips,idiot
twats,vagina
twatwaffle,homosexual
unclefucker,homosexual
va-j-j,female genitalia
vag,female genitalia
vagina,female genitalia
vajayjay,female genitalia
vjayjay,female genitalia
wank,a sexual act
wankjob,a sexual act
wetback,Mexican
whore,sexually active woman
whorebag,sexually active woman
whoreface,sexually active woman
wop,Italian
