term,meaning
anus,butt
arse,butt
arsehole,butt
ass,butt
ass-hat,idiot
ass-jabber,homosexual
ass-pirate,homosexual
assbag,idiot
assbandit,homosexual
assbanger,homosexual
assbite,idiot
assclown,butt
asscock,idiot
asscracker,butt
asses,butts
assface,butt
assfuck,rear-loving
assfucker,homosexual
assgoblin,homosexual
asshat,butt
asshead,idiot
asshole,jerk
asshopper,homosexual
assjacker,homosexual
asslick,idiot
asslicker,buttlicker
assmonkey,idiot
assmunch,idiot
assmuncher,butt
assnigger,racial slur
asspirate,homosexual
assshit,idiot
assshole,butt
asssucker,idiot
asswad,butt
asswipe,butt
axwound,female genitalia
bampot,idiot
bastard,illegitimate child
bitchass,idiot
bitchtits,homosexual
bitchy,meaning
blow job,sexual act
blowjob,sexual act
bollocks,male genitalia
bollox,male genitalia
boner,erection
brotherfucker,homosexual
bullshit,poop
bumblefuck,homosexual
butt plug,cork
butt-pirate,homosexual
buttfucka,homosexual
buttfucker,homosexual
camel toe,female genitalia
carpetmuncher,homosexual
chesticle,breast 
chinc,Chinese
choad,male genitalia
chode,small penis
clit,female genitalia
clitface,idiot
clitfuck,sexual act
clusterfuck,mess up
cock,penis
cockass,jerk 
cockbite,idiot
cockburger,idiot
cockface,idiot
cockfucker,idiot
cockhead,idiot
cockjockey,idiot
cockknoker,homosexual
cockmaster,homosexual
cockmongler,homosexual
cockmongrel ,homosexual
cockmonkey,idiot
cockmuncher,homosexual
cocknose,idiot
cocknugget,idiot
cockshit,idiot
cocksmith,homosexual
cocksmoke,homosexual
cocksmoker,homosexual
cocksniffer,homosexual
cockwaffle,idiot
coochie,female genitalia
coochy,female genitalia
cooter,female genitalia
cum,semen
cumbubble,idiot
cumdumpster,prostitute
cumguzzler,homosexual
cumjockey,homosexual
cumslut,dirty girl
cumtart,idiot
cunnie,female genitalia
cunnilingus,sexual act
cuntass,idiot
cuntface,idiot
cunthole,female genitalia
cuntlicker,homosexual
cuntrag,idiot
cuntslut,idiot
damn,darn
deggo,Italian
dick,penis
dick-sneeze,orgasm
dickbag,idiot
dickbeaters,hands
dickface,idiot
dickfuck,idiot
dickfucker,homosexual
dickhead,phallace face
dickhole,male genitalia
dickjuice,semen
dickmilk,sperm
dickmonger,homosexual
dicks,penis
dickslap,sexual act
dicksucker,homosexual
dick sucking,sexual act
dick tickler,homosexual
dickwad,idiot
dickweasel,idiot
dickweed,idiot
dickwod,idiot
dike,homosexual
dildo,sexual toy
dipshit,idiot
doochbag,idiot
dookie,poop
douche,female hygene product
douche-fag,idiot
douchebag,female hygene product
douchewaffle,homosexual
dumb ass,idiot
dumbass,idiot
dumb fuck,idiot
dumb shit,idiot
fagfucker,homosexual
faggit,homosexual
faggotcock,homosexual
fagtard,homosexual
fatass,a fat person
fellatio,a sexual act
feltch,a sexual act
flamer,homosexual
fuck,a sexual act
fuckass,idiot
fuckbag,idiot
fuckboy,idiot
fuckbrain,idiot
fuckbutt,butt
fuckbutter,sexual fluids
fucked,had intercourse
fucker,fornicator
fuckersucker,idiot
fuckface,idiot
fuckhead,butt
fuckhole,jerk
fuckin,a sexual act
fucking,freaking
fucknut,idiot
fucknutt,idiot
fuck off,go away
fucks,a sexual act
fuckstick,male genitalia
fucktard,idiot
fuckup,idiot
fuckwad,idiot
fuckwit,dummy
fuckwitt,idiot
gayass,butt
gaybob,homosexual
gaydo,homosexual
gayfuck,homosexual
gayfuckist,homosexual
gaytard,homosexual
gaywad,homosexual
goddamn,goshdarn
goddamnit,goshdarnit
gooch,female genitalia
gringo,foreigner
handjob,a sexual act
hard on,erection
hell,heck
homo,homosexual
homodumbshit,idiot
humping,a sexual act
jackass,idiot
jagoff,idiot
jap,Japanese
jerk off,a sexual act
jerkass,idiot
jizz,semen
kooch,female genitalia
kootch,female genitalia
lameass,loser
lardass,a fat person
lesbian,homosexual
lesbo,homosexual
lezzie,homosexual
mcfaggot,homosexual
minge,female genitalia
mothafucka,jerk 
mothafuckin,mother loving
motherfucker,mother lover
motherfucking,fornicating with a mother
muff,female genitalia
muffdiver,homosexual
munging,a sexual act
nigaboo,African American
nut sack,male genitalia
panooch,female genitalia
pecker,penis
peckerhead,idiot
penis,male genitalia
penisbanger,homosexual
penisfucker,homosexual
penispuffer,homosexual
piss,urinate
pissed,urinated
pissed off,angry
pissflaps,female genitalia
polesmoker,homosexual
pollock,Polish
poon,female genitalia
poonami,female genitalia
poonany,female genitalia
poontang,female genitalia
prick,penis
punanny,female genitalia
punta,female dog
pussy licking,a sexual act
puto,idiot
queef ,vaginal fart
queerbait,homosexual
queerhole,homosexual
renob,erection
rimjob,a sexual act
ruski,Russian
schlong,Middle Eastern
scrote,male genitalia
shit,male genitalia
shitass,poop
shitbag,idiot
shitbagger,idiot
shitbrains,idiot
shitbreath,idiot
shitcanned,bad breath
shitcunt,fired
shitdick,idiot
shitface,idiot
shitfaced,poop face
shithead,drunk
shithole,jerk
shithouse,idiot
shitspitter,bathroom
shitstain,butt
shitter,poop
shittiest,defecator
shittihng,worst
shitty,bad breath
shiz,poop
shiznit,poop
skullfuck,a sexual act
slutbag,sexually active woman
smeg,poop
snatch,female genitalia
splooge,ejaculate
suckass,idiot
testicle,male genitalia
thundercunt,idiot
tit,breast 
titfuck,a sexual act
tits,breasts
tittyfuck,a sexual act
twatlips,idiot
twatwaffle,homosexual
unclefucker,homosexual
va-j-j,female genitalia
vag,female genitalia
vagina,female genitalia
vajayjay,female genitalia
vjayjay,female genitalia
wank,a sexual act
wankjob,a sexual act
whorebag,sexually active woman
whoreface,sexually active woman
ugly,unpleasant
die,stop living
kill,cause the death of
liar,a dishonest person
hate,dislike
useless,having no ability
retarded,stupid
