term,vocabulary_id,hateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,plural_of,variant_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings
Girl,ayhoGnAxg,"A disrespectful, belittling term used to refer to an adult woman.",False,,50.0,,,False,False,False,True,False,False,False,0
whitie,oLVQyHuFA,A Caucasian.,False,,,,whitey,False,True,False,False,False,False,False,8
fish wagon,WXianaa2P,A derogatory term for a person who suffers from a sexually transmitted disease.,False,,50.0,,,False,False,False,False,False,True,False,1
skank,CPZaHMujK,a dirty or promiscuous woman,False,,50.0,,,False,False,False,True,False,False,False,1
gun burglar,w9CQ9KeW4,"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",False,,89.0,,gin jockey,False,True,False,False,False,False,False,3
gun burglars,AYJoGxaFV,"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",False,,,gun burglar,,False,True,False,False,False,False,False,0
kanaka,QgCzdCQBw,[1] An offensive term for Pacific Islander [2] Dated reference to Pacific Islander labourers,False,,91.0,,,False,True,False,False,False,False,False,19
cracker,zzaVUeKA8,"A poor Appalachian or poor Southerner, a white person, first used in the 19th century.",False,,46.0,,,False,True,False,False,False,False,True,1204
ABCs,niaHtmNyk,[1] American-born Chinese [2] Australian-born Chinese,False,,31.0,ABC,,True,True,False,False,False,False,False,2
ABC,rnAN2dkU6,[1] American-born Chinese [2] Australian-born Chinese,False,,28.0,,,True,True,False,False,False,False,False,1
rube,j7UaZBb9F,A rural person.,False,,53.0,,,False,False,False,False,False,False,True,62
whoriental,WRaKdghPn,An Asian woman (or less often a man) who is promiscuous.,False,,,,,False,True,False,True,False,False,False,2
whorientals,jTQCcisbD,,False,,,whoriental,,False,True,False,True,False,False,False,0
hoosier,zPmE2uCCg,A rural or unsophisticated person,False,,88.0,,,False,False,False,False,False,False,True,42
hooknoses,pbWuDaapo,,False,,,hooknose,,False,True,True,False,False,False,False,0
hooknosed,arAfRhXak,,False,,,,hooknose,False,True,True,False,False,False,False,28
hooknose,JWkFPrJmY,Referring to a stereotypical facial feature of Jewish people,False,,,,,False,True,True,False,False,False,False,37
dagowops,hExD3rxQp,,False,,100.0,dagowop,,True,True,False,False,False,False,False,0
dagowop,oVFNgdGCE,"Combination of ""Dago"" and ""Wop""",False,,100.0,,,True,True,False,False,False,False,False,0
chimp-outs,kurvPtF7E,,False,,,chimp pack,,False,True,False,False,False,False,False,0
bean bandit,pdqCdUuiB,Referring to Hispanic people,False,,75.0,,,False,True,False,False,False,False,False,1
bean bandits,kpYzwEddG,,False,,75.0,bean bandit,,False,True,False,False,False,False,False,0
lipstick lesbians,fB3bwakms,,False,,,lipstick lesbian,,False,False,False,False,True,False,False,18
libtard,zPrJTQa6Y,Contraction of liberal and retard,False,,44.0,,,False,False,False,False,False,True,False,146
jihadi-americans,qVTLPxNRc,,False,,,jihadi-american,,False,True,True,False,False,False,False,0
jihadi-american,BjWPVTHeu,"Derogatory play on hyphenated ethnicity, relating to Muslims or Arabs more broadly.",False,,,,,False,True,True,False,False,False,False,0
gyppoes,FNJHyjEyU,,False,,,gyppo,gypos,False,True,False,False,False,False,False,0
